YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,CBPERNUM,PERWT,SEX,AGE,DEGFIELD,DEGFIELDD,DEGFIELD2,DEGFIELD2D,EMPSTAT,EMPSTATD,OCC,IND,WKSWORK2,UHRSWORK,INCWAGE,PWSTATE2,PWPUMA00,US2023A_OCCP,US2023A_SOCP
2023,202301,8,2023010000537,1.0,2023000000081,140201,4,1,1,1.0,1,71,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,9,2023010000558,3.0,2023000000091,140401,4,1,1,3.0,2,75,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,14,2023010001264,65.0,2023000000141,180101,3,1,1,65.0,2,72,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,66,2023010003740,2.0,2023000000661,140401,4,1,1,2.0,2,93,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,87,2023010004964,50.0,2023000000871,240001,4,1,1,50.0,1,28,24,2414,0,0,1,14,2905,9670,6,50,27000,1,2400,2905,2740XX
2023,202301,103,2023010005626,35.0,2023000001031,140301,3,1,1,35.0,2,84,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,128,2023010006577,49.0,2023000001281,70001,3,1,1,49.0,2,70,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,185,2023010009689,3.0,2023000001851,180101,4,1,1,3.0,1,71,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,189,2023010009893,9.0,2023000001891,100001,4,1,1,9.0,2,93,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,195,2023010010135,46.0,2023000001951,40201,4,1,1,46.0,1,23,21,2102,0,0,1,10,4640,7870,4,23,18000,1,490,4640,399041
2023,202301,244,2023010012350,51.0,2023000002441,40301,3,1,1,51.0,2,79,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,263,2023010013130,31.0,2023000002631,140401,4,1,1,31.0,1,71,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,265,2023010013192,5.0,2023000002651,120201,4,1,1,5.0,2,42,61,6107,0,0,3,30,3322,8180,1,40,350,0,0,3322,292032
2023,202301,293,2023010014561,38.0,2023000002931,80001,4,1,1,38.0,1,23,21,2102,0,0,1,10,4640,7870,4,23,18000,1,800,4640,399041
2023,202301,300,2023010014892,22.0,2023000003001,230001,3,1,1,22.0,2,93,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,315,2023010015550,8.0,2023000003151,140301,4,1,1,8.0,1,52,11,1105,0,0,1,10,7905,3570,2,40,12800,1,1390,7905,519160
2023,202301,317,2023010015659,42.0,2023000003171,140401,4,1,1,42.0,2,63,49,4901,0,0,3,30,5320,6770,0,0,0,0,0,5320,434121
2023,202301,334,2023010016560,58.0,2023000003341,180101,3,1,1,58.0,1,63,64,6402,33,3301,3,30,2040,9160,0,0,0,0,0,2040,212011
2023,202301,346,2023010017152,39.0,2023000003461,140301,3,1,1,39.0,1,42,62,6200,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,369,2023010018354,48.0,2023000003691,260001,3,1,1,48.0,2,80,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,472,2023010023329,10.0,2023000004721,250001,4,1,1,10.0,1,79,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,480,2023010023537,17.0,2023000004801,200001,3,1,1,17.0,1,40,23,2300,0,0,3,30,4251,7770,6,40,30000,0,0,4251,373011
2023,202301,553,2023010027062,54.0,2023000005531,110001,3,1,1,54.0,2,76,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,561,2023010027415,25.0,2023000005611,80001,4,1,1,25.0,1,23,21,2102,0,0,1,10,4640,7870,4,23,18000,1,800,4640,399041
2023,202301,577,2023010028229,26.0,2023000005771,250001,3,1,1,26.0,1,59,24,2408,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,586,2023010028494,29.0,2023000005861,140301,3,1,1,29.0,1,93,64,6402,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,607,2023010029593,46.0,2023000006071,160001,3,1,1,46.0,1,63,64,6402,33,3301,3,30,2040,9160,0,0,0,0,0,2040,212011
2023,202301,633,2023010030855,57.0,2023000006331,190101,3,1,1,57.0,2,79,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,643,2023010031214,17.0,2023000006431,140401,4,1,1,17.0,2,86,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,686,2023010033362,4.0,2023000006861,140401,4,1,1,4.0,2,80,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,696,2023010033855,26.0,2023000006961,140401,4,1,1,26.0,1,71,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,700,2023010033968,75.0,2023000007001,30001,3,1,1,75.0,1,89,23,2399,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,723,2023010035134,54.0,2023000007231,160001,3,1,1,54.0,1,61,59,5901,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,730,2023010035496,27.0,2023000007301,280301,4,1,1,27.0,2,84,35,3501,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,735,2023010035522,18.0,2023000007351,70001,4,1,1,18.0,2,89,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,783,2023010037929,56.0,2023000007831,40301,3,1,1,56.0,1,61,59,5901,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,803,2023010038664,3.0,2023000008031,140301,4,1,1,3.0,1,52,11,1105,0,0,1,10,7905,3570,2,40,12800,1,1390,7905,519160
2023,202301,807,2023010038856,6.0,2023000008071,10001,4,1,1,6.0,2,86,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,817,2023010039650,46.0,2023000008171,210101,3,1,1,46.0,2,81,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,823,2023010039864,45.0,2023000008231,100001,3,1,1,45.0,2,66,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,835,2023010040231,3.0,2023000008351,160001,3,1,1,3.0,1,63,64,6402,33,3301,3,30,2040,9160,0,0,0,0,0,2040,212011
2023,202301,841,2023010040583,8.0,2023000008411,150201,4,1,1,8.0,1,79,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,947,2023010046223,55.0,2023000009471,90001,3,1,1,55.0,1,89,23,2399,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,960,2023010046780,11.0,2023000009601,270101,4,1,1,11.0,2,80,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,967,2023010047132,3.0,2023000009671,90001,4,1,1,3.0,2,76,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,972,2023010047275,41.0,2023000009721,280301,3,1,1,41.0,2,75,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,978,2023010047491,25.0,2023000009781,260001,3,1,1,25.0,1,43,62,6200,0,0,3,30,9600,7580,6,40,48000,0,0,9600,537051
2023,202301,1005,2023010048999,41.0,2023000010051,210101,4,1,1,41.0,1,23,41,4101,0,0,3,30,5400,5276,1,40,5500,0,0,5400,434171
2023,202301,1012,2023010049402,77.0,2023000010121,80001,4,1,1,77.0,1,23,21,2102,0,0,1,10,4640,7870,4,23,18000,1,800,4640,399041
2023,202301,1065,2023010051542,6.0,2023000010651,110001,3,1,1,6.0,2,71,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1070,2023010051762,58.0,2023000010701,120201,4,1,1,58.0,1,23,41,4101,0,0,3,30,5400,5276,1,40,5500,0,0,5400,434171
2023,202301,1083,2023010052432,21.0,2023000010831,120201,3,1,1,21.0,2,84,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1089,2023010052795,5.0,2023000010891,140401,4,1,1,5.0,2,93,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1136,2023010054876,46.0,2023000011361,210101,4,1,1,46.0,1,23,21,2102,0,0,1,10,4640,7870,4,23,18000,1,2190,4640,399041
2023,202301,1140,2023010055251,5.0,2023000011401,40101,4,1,1,5.0,2,84,35,3501,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1160,2023010055945,2.0,2023000011601,170001,4,1,1,2.0,1,44,62,6200,0,0,3,30,9365,8770,1,50,7200,0,0,9365,536030
2023,202301,1163,2023010056151,24.0,2023000011631,140401,4,1,1,24.0,2,62,54,5404,0,0,1,10,2440,6770,6,15,1100,1,1390,2440,254031
2023,202301,1175,2023010056756,30.0,2023000011751,250001,3,1,1,30.0,2,79,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1188,2023010057276,2.0,2023000011881,160001,3,1,1,2.0,1,61,59,5901,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1190,2023010057356,59.0,2023000011901,230001,3,1,1,59.0,2,93,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1194,2023010057486,52.0,2023000011941,80001,3,1,1,52.0,2,81,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1204,2023010057883,1.0,2023000012041,90001,4,1,1,1.0,2,84,35,3501,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1241,2023010059495,33.0,2023000012411,160001,3,1,1,33.0,2,93,60,6006,33,3301,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1252,2023010059957,18.0,2023000012521,150101,3,1,1,18.0,2,75,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1269,2023010060796,3.0,2023000012691,140401,4,1,1,3.0,1,79,24,2400,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1274,2023010060987,11.0,2023000012741,150201,4,1,1,11.0,1,44,62,6200,0,0,3,30,9365,8770,1,50,7200,0,0,9365,536030
2023,202301,1302,2023010062224,25.0,2023000013021,40301,3,1,1,25.0,1,83,64,6402,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1314,2023010062728,21.0,2023000013141,140401,4,1,1,21.0,1,52,11,1105,0,0,1,10,7905,3570,2,40,12800,1,1390,7905,519160
2023,202301,1368,2023010064925,3.0,2023000013681,140401,4,1,1,3.0,2,86,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1381,2023010065531,26.0,2023000013811,140401,4,1,1,26.0,2,42,61,6107,0,0,3,30,3322,8180,1,40,350,0,0,3322,292032
2023,202301,1387,2023010065722,40.0,2023000013871,200001,3,1,1,40.0,1,40,23,2300,0,0,3,30,4251,7770,6,40,30000,0,0,4251,373011
2023,202301,1399,2023010066285,15.0,2023000013991,110001,4,1,1,15.0,2,84,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1416,2023010066992,76.0,2023000014161,270101,3,1,1,76.0,2,72,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1418,2023010067247,41.0,2023000014181,140401,4,1,1,41.0,2,75,11,1103,0,0,1,10,3602,8170,6,82,57000,1,1390,3602,311122
2023,202301,1455,2023010068844,4.0,2023000014551,270101,4,1,1,4.0,2,84,35,3501,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1534,2023010072911,49.0,2023000015341,140101,4,1,1,49.0,2,84,61,6107,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1553,2023010073761,4.0,2023000015531,140401,3,1,1,4.0,1,93,64,6402,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1556,2023010073782,10.0,2023000015561,80001,4,1,1,10.0,2,32,48,4801,0,0,1,10,2320,7860,6,40,50000,1,800,2320,252030
2023,202301,1574,2023010074702,39.0,2023000015741,280301,3,1,1,39.0,2,79,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1608,2023010076192,14.0,2023000016081,100001,3,1,1,14.0,2,72,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1663,2023010079650,52.0,2023000016631,200001,3,1,1,52.0,1,40,23,2300,0,0,3,30,4251,7770,6,40,30000,0,0,4251,373011
2023,202301,1670,2023010080111,6.0,2023000016701,280301,4,1,1,6.0,2,89,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1692,2023010081183,4.0,2023000016921,140201,4,1,1,4.0,2,86,23,2300,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1695,2023010081261,61.0,2023000016951,140401,3,1,1,61.0,2,81,61,6107,23,2310,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1761,2023010084505,6.0,2023000017611,250001,3,1,1,6.0,2,79,62,6203,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
2023,202301,1828,2023010087756,52.0,2023000018281,230001,3,1,1,52.0,2,86,23,2310,0,0,3,30,0,0,0,0,0,0,0,BBBB,BBBBBB
